array_generator,size,algorithm,instruction_count
generate_random_sorted_array,100000,heap_sort,130356830
generate_random_sorted_array,100000,merge_sort,35795507
generate_random_sorted_array,100000,quick_sort,105007956267
generate_random_sorted_array,1000000,shell_sort,2002346961287
generate_random_sorted_array,1000000,insertion_sort,12002012
generate_random_sorted_array,1000000,selection_sort,7125036088634
generate_random_sorted_array,1000000,bubble_sort,2625025543269
generate_random_sorted_array,1000000,heap_sort,1565870760
generate_random_sorted_array,1000000,merge_sort,408980665
generate_random_sorted_array,1000000,quick_sort,10500079627885
generate_almost_sorted_array,10,shell_sort,4578
generate_almost_sorted_array,10,insertion_sort,2080
generate_almost_sorted_array,10,selection_sort,3023
generate_almost_sorted_array,10,bubble_sort,2491
generate_almost_sorted_array,10,heap_sort,4422
generate_almost_sorted_array,10,merge_sort,3374
generate_almost_sorted_array,10,quick_sort,6667
generate_almost_sorted_array,100,shell_sort,9865
generate_almost_sorted_array,100,insertion_sort,3161
generate_almost_sorted_array,100,selection_sort,76822
generate_almost_sorted_array,100,bubble_sort,30786
generate_almost_sorted_array,100,heap_sort,51609
generate_almost_sorted_array,100,merge_sort,21973
generate_almost_sorted_array,100,quick_sort,117770
generate_almost_sorted_array,1000,shell_sort,443887
generate_almost_sorted_array,1000,insertion_sort,13953
generate_almost_sorted_array,1000,selection_sort,7162980
generate_almost_sorted_array,1000,bubble_sort,2652462
generate_almost_sorted_array,1000,heap_sort,762855
generate_almost_sorted_array,1000,merge_sort,253835
generate_almost_sorted_array,1000,quick_sort,10584323
generate_almost_sorted_array,10000,shell_sort,46330083
generate_almost_sorted_array,10000,insertion_sort,121973
generate_almost_sorted_array,10000,selection_sort,712861983
generate_almost_sorted_array,10000,bubble_sort,262756980
generate_almost_sorted_array,10000,heap_sort,10387161
generate_almost_sorted_array,10000,merge_sort,3047198
generate_almost_sorted_array,10000,quick_sort,1050799829
generate_almost_sorted_array,100000,shell_sort,4631504412
generate_almost_sorted_array,100000,insertion_sort,1201957
generate_almost_sorted_array,100000,selection_sort,71253603561
generate_almost_sorted_array,100000,bubble_sort,26252552764
generate_almost_sorted_array,100000,heap_sort,130431585
generate_almost_sorted_array,100000,merge_sort,35662536
generate_almost_sorted_array,100000,quick_sort,105007956504
generate_almost_sorted_array,1000000,shell_sort,462829999780
generate_almost_sorted_array,1000000,insertion_sort,12001961
generate_almost_sorted_array,1000000,selection_sort,7125036081507
generate_almost_sorted_array,1000000,bubble_sort,2625025538060
generate_almost_sorted_array,1000000,heap_sort,1566478701
generate_almost_sorted_array,1000000,merge_sort,407720316
generate_almost_sorted_array,1000000,quick_sort,10500079609659
